Transaction Date,Description,Narration,Debit Amount,Credit Amount,Balance
2024-01-01,UPI Payment,ZOMATO FOOD ORDER,450.00,,50000.00
2024-01-02,UPI Payment,PAYTM WALLET RECHARGE,1200.00,,48800.00
2024-01-03,Debit Card,AMAZON SHOPPING,3500.00,,45300.00
2024-01-04,Net Banking,BSNL MOBILE RECHARGE,299.00,,45001.00
2024-01-05,UPI Payment,UBER RIDE,280.00,,44721.00
2024-01-06,Debit Card,BIG BAZAAR GROCERY,1850.00,,42871.00
2024-01-07,UPI Payment,SWIGGY FOOD DELIVERY,650.00,,42221.00
2024-01-08,Net Banking,ELECTRICITY BILL BSES,2200.00,,40021.00
2024-01-09,UPI Payment,OLA CABS,320.00,,39701.00
2024-01-10,Debit Card,FLIPKART SHOPPING,4500.00,,35201.00
2024-01-11,UPI Payment,STARBUCKS COFFEE,250.00,,34951.00
2024-01-12,Net Banking,WATER BILL DJB,850.00,,34101.00
2024-01-13,UPI Payment,ZOMATO FOOD ORDER,380.00,,33721.00
2024-01-14,Debit Card,METRO CARD RECHARGE,500.00,,33221.00
2024-01-15,UPI Payment,PAYTM MALL,1200.00,,32021.00
2024-01-16,Net Banking,GAS BILL INDANE,650.00,,31371.00
2024-01-17,UPI Payment,UBER EATS FOOD,520.00,,30851.00
2024-01-18,Debit Card,APOLLO PHARMACY MEDICINE,1200.00,,29651.00
2024-01-19,UPI Payment,NETFLIX SUBSCRIPTION,499.00,,29152.00
2024-01-20,Net Banking,INTERNET BILL AIRTEL,799.00,,28353.00
2024-01-21,UPI Payment,MCDONALDS FAST FOOD,350.00,,28003.00
2024-01-22,Debit Card,RELIANCE FRESH GROCERY,2100.00,,25903.00
2024-01-23,UPI Payment,BOOKMYSHOW MOVIE,600.00,,25303.00
2024-01-24,Net Banking,CREDIT CARD PAYMENT HDFC,15000.00,,10303.00
2024-01-25,UPI Payment,SPOTIFY PREMIUM,99.00,,10204.00
2024-01-26,Debit Card,HP PETROL PUMP FUEL,2500.00,,7704.00
2024-01-27,UPI Payment,ZOMATO FOOD ORDER,420.00,,7284.00
2024-01-28,Net Banking,LIC INSURANCE PREMIUM,5000.00,,2284.00
2024-01-29,UPI Payment,AMAZON PRIME SUBSCRIPTION,149.00,,2135.00
2024-01-30,Debit Card,MYNTRA FASHION SHOPPING,3200.00,,-1065.00
2024-01-31,UPI Payment,PAYTM RECHARGE,500.00,,-1565.00
2024-02-01,Salary Credit,COMPANY SALARY,,75000.00,73435.00
2024-02-02,UPI Payment,ZOMATO FOOD ORDER,550.00,,72885.00
2024-02-03,Debit Card,AMAZON SHOPPING,2800.00,,70085.00
2024-02-04,UPI Payment,UBER RIDE,180.00,,69905.00
2024-02-05,Net Banking,ELECTRICITY BILL BSES,2100.00,,67805.00
2024-02-06,Debit Card,D MART GROCERY,3200.00,,64605.00
2024-02-07,UPI Payment,SWIGGY FOOD DELIVERY,480.00,,64125.00
2024-02-08,UPI Payment,OLA AUTO RIDE,120.00,,64005.00
2024-02-09,Net Banking,INTERNET BILL JIO,999.00,,63006.00
2024-02-10,Debit Card,FLIPKART SHOPPING,5500.00,,57506.00
2024-02-11,UPI Payment,PAYTM PAYMENTS,800.00,,56706.00
2024-02-12,Net Banking,WATER BILL DJB,750.00,,55956.00
2024-02-13,UPI Payment,ZOMATO FOOD ORDER,620.00,,55336.00
2024-02-14,Debit Card,AMAZON PAY,4200.00,,51136.00
2024-02-15,UPI Payment,BOOKMYSHOW MOVIE,800.00,,50336.00
2024-02-16,Net Banking,GAS BILL HP GAS,680.00,,49656.00
2024-02-17,UPI Payment,UBER EATS FOOD,450.00,,49206.00
2024-02-18,Debit Card,RELIANCE DIGITAL ELECTRONICS,15000.00,,34206.00
2024-02-19,UPI Payment,NETFLIX SUBSCRIPTION,499.00,,33707.00
2024-02-20,Net Banking,MOBILE RECHARGE VODAFONE,299.00,,33408.00
2024-02-21,UPI Payment,STARBUCKS COFFEE,320.00,,33088.00
2024-02-22,Debit Card,HP PETROL PUMP FUEL,2200.00,,30888.00
2024-02-23,UPI Payment,ZOMATO FOOD ORDER,380.00,,30508.00
2024-02-24,Net Banking,CREDIT CARD PAYMENT ICICI,12000.00,,18508.00
2024-02-25,UPI Payment,SPOTIFY PREMIUM,99.00,,18409.00
2024-02-26,Debit Card,APOLLO PHARMACY MEDICINE,850.00,,17559.00
2024-02-27,UPI Payment,PAYTM MALL,1500.00,,16059.00
2024-02-28,Net Banking,HDFC LIFE INSURANCE,3500.00,,12559.00
2024-02-29,UPI Payment,AMAZON PRIME SUBSCRIPTION,149.00,,12410.00

